"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Romano V.; Parekh M.; Virgili G.; Coco G.; Leon P.; Islein K.; Ponzin D.; Ferrari S.; Fasolo A.; Yu A.C.; Lucenteforte E.; Busin M.; Kaye S.B.","Romano, Vito (25960336600); Parekh, Mohit (54795700400); Virgili, Gianni (7006732630); Coco, Giulia (56443822600); Leon, Pia (56900808700); Islein, Katja (57369812100); Ponzin, Diego (6603422101); Ferrari, Stefano (57190211074); Fasolo, Adriano (7006426923); Yu, Angeli Christy (57216633741); Lucenteforte, Ersilia (57221224308); Busin, Massimo (57205977383); Kaye, Stephen B. (57226228812)","25960336600; 54795700400; 7006732630; 56443822600; 56900808700; 57369812100; 6603422101; 57190211074; 7006426923; 57216633741; 57221224308; 57205977383; 57226228812","Gender Matching Did Not Affect 2-year Rejection or Failure Rates Following DSAEK for Fuchs Endothelial Corneal Dystrophy","2022","American Journal of Ophthalmology","235","","","204","210","6","9","10.1016/j.ajo.2021.09.029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120942800&doi=10.1016%2fj.ajo.2021.09.029&partnerID=40&md5=69397f6e63f8bead35eb13bd2a11c368","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85120942800"
"Scorcia V.; Giannaccare G.; Lucisano A.; Soda M.; Scalzo G.C.; Myerscough J.; Pellegrini M.; Verdoliva F.; Piccoli G.; Bovone C.; Busin M.","Scorcia, Vincenzo (24554546300); Giannaccare, Giuseppe (55753474700); Lucisano, Andrea (54923648200); Soda, Mauro (57209242222); Scalzo, Giovanna Carnovale (6503996332); Myerscough, James (56155557300); Pellegrini, Marco (57200399011); Verdoliva, Francesco (55325692300); Piccoli, Gabriele (57208838633); Bovone, Cristina (24476942500); Busin, Massimo (57205977383)","24554546300; 55753474700; 54923648200; 57209242222; 6503996332; 56155557300; 57200399011; 55325692300; 57208838633; 24476942500; 57205977383","Predictors of Bubble Formation and Type Obtained With Pneumatic Dissection During Deep Anterior Lamellar Keratoplasty in Keratoconus","2020","American Journal of Ophthalmology","212","","","127","133","6","32","10.1016/j.ajo.2019.12.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079144930&doi=10.1016%2fj.ajo.2019.12.012&partnerID=40&md5=d94ac1a4f242cf1c10260ebfb68f1d44","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85079144930"
"Casciano F.; Zauli E.; Rimondi E.; Mura M.; Previati M.; Busin M.; Zauli G.","Casciano, Fabio (46061844800); Zauli, Enrico (57748279800); Rimondi, Erika (23036815400); Mura, Marco (57208548443); Previati, Maurizio (6701772449); Busin, Massimo (57205977383); Zauli, Giorgio (7006419422)","46061844800; 57748279800; 23036815400; 57208548443; 6701772449; 57205977383; 7006419422","The role of the mTOR pathway in diabetic retinopathy","2022","Frontiers in Medicine","9","","973856","","","","20","10.3389/fmed.2022.973856","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142118481&doi=10.3389%2ffmed.2022.973856&partnerID=40&md5=a7f458550c146d22e286632c40c72736","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85142118481"
"Giannaccare G.; Bolognesi F.; Biglioli F.; Marchetti C.; Mariani S.; Weiss J.S.; Allevi F.; Cazzola F.E.; Ponzin D.; Lozza A.; Bovone C.; Scorcia V.; Busin M.; Campos E.C.","Giannaccare, Giuseppe (55753474700); Bolognesi, Federico (57201417696); Biglioli, Federico (6701920895); Marchetti, Claudio (7101710582); Mariani, Silvia (57212802224); Weiss, Jayne S. (57208156882); Allevi, Fabiana (55382703900); Cazzola, Federica E. (57209217511); Ponzin, Diego (6603422101); Lozza, Alessandro (6602235387); Bovone, Cristina (24476942500); Scorcia, Vincenzo (24554546300); Busin, Massimo (57205977383); Campos, Emilio C. (57190684719)","55753474700; 57201417696; 6701920895; 7101710582; 57212802224; 57208156882; 55382703900; 57209217511; 6603422101; 6602235387; 24476942500; 24554546300; 57205977383; 57190684719","In vivo and ex vivo comprehensive evaluation of corneal reinnervation in eyes neurotized with contralateral supratrochlear and supraorbital nerves","2020","Cornea","39","2","","210","214","4","34","10.1097/ico.0000000000002083","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077402755&doi=10.1097%2fico.0000000000002083&partnerID=40&md5=3e9806da3899a8725f9e2b512d91c17d","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85077402755"
"Busin M.; Yu A.C.; Ponzin D.","Busin, Massimo (57205977383); Yu, Angeli Christy (57216633741); Ponzin, Diego (6603422101)","57205977383; 57216633741; 6603422101","Coping with COVID-19: An Italian Perspective on Corneal Surgery and Eye Banking in the Time of a Pandemic and Beyond","2020","Ophthalmology","127","9","","e68","e69","1","29","10.1016/j.ophtha.2020.04.031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084139840&doi=10.1016%2fj.ophtha.2020.04.031&partnerID=40&md5=e98c9a87e4ee0f5f2bdf321c58ee7d35","Editorial","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85084139840"
"Yu A.C.; Friehmann A.; Myerscough J.; Socea S.; Furiosi L.; Giannaccare G.; Bovone C.; Busin M.","Yu, Angeli Christy (57216633741); Friehmann, Asaf (57195409883); Myerscough, James (56155557300); Socea, Sergiu (56593220100); Furiosi, Luca (57217492848); Giannaccare, Guiseppe (55753474700); Bovone, Cristina (24476942500); Busin, Massimo (57205977383)","57216633741; 57195409883; 56155557300; 56593220100; 57217492848; 55753474700; 24476942500; 57205977383","Initial High-Dose Prophylaxis and Extended Taper for Mushroom Keratoplasty in Vascularized Herpetic Scars","2020","American Journal of Ophthalmology","217","","","212","223","11","16","10.1016/j.ajo.2020.04.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087303659&doi=10.1016%2fj.ajo.2020.04.016&partnerID=40&md5=b07d1dee24b6707bc47aae9227a9d723","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85087303659"
"Scorcia V.; Albè E.; Busin M.","Scorcia, Vincenzo (24554546300); Albè, Elena (6506815511); Busin, Massimo (57205977383)","24554546300; 6506815511; 57205977383","Ultra-Thin Grafts for Descemet’s Stripping Automated Endothelial Keratoplasty","2024","Mastering Corneal Surgery: Recent Advances and Current Techniques","","","","67","72","5","0","10.1201/9781003525004-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199828583&doi=10.1201%2f9781003525004-7&partnerID=40&md5=98235427dd761a19afd464885b43acd1","Book chapter","Final","","Scopus","2-s2.0-85199828583"
"Myerscough J.; Roberts H.; Yu A.C.; Elkadim M.; Bovone C.; Busin M.","Myerscough, James (56155557300); Roberts, Harry (56030249800); Yu, Angeli Christy (57216633741); Elkadim, Mohamed (57209474877); Bovone, Cristina (24476942500); Busin, Massimo (57205977383)","56155557300; 56030249800; 57216633741; 57209474877; 24476942500; 57205977383","Five-year Outcomes of Converted Mushroom Keratoplasty from Intended Deep Anterior Lamellar Keratoplasty (DALK) Mandate 9-mm Diameter DALK as the Optimal Approach to Keratoconus","2020","American Journal of Ophthalmology","220","","","9","18","9","24","10.1016/j.ajo.2020.07.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091747031&doi=10.1016%2fj.ajo.2020.07.009&partnerID=40&md5=c5df66ae63bb71c25a0e6f36c8a8cb9f","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85091747031"
"Busin M.; Leon P.; D'Angelo S.; Ruzza A.; Ferrari S.; Ponzin D.; Parekh M.","Busin, Massimo (57205977383); Leon, Pia (56900808700); D'Angelo, Sergio (7004818616); Ruzza, Alessandro (8681862500); Ferrari, Stefano (57190211074); Ponzin, Diego (6603422101); Parekh, Mohit (54795700400)","57205977383; 56900808700; 7004818616; 8681862500; 57190211074; 6603422101; 54795700400","Clinical Outcomes of Preloaded Descemet Membrane Endothelial Keratoplasty Grafts With Endothelium Tri-Folded Inwards","2018","American Journal of Ophthalmology","193","","","106","113","7","54","10.1016/j.ajo.2018.06.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049433319&doi=10.1016%2fj.ajo.2018.06.013&partnerID=40&md5=ed77d9f87331aa88e4b7987ad562b57e","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85049433319"
"Busin M.; Bovone C.; Scorcia V.; Rimondi E.; Nahum Y.; Myerscough J.; Yu A.C.","Busin, Massimo (57205977383); Bovone, Cristina (24476942500); Scorcia, Vincenzo (24554546300); Rimondi, Erika (23036815400); Nahum, Yoav (23493152000); Myerscough, James (56155557300); Yu, Angeli Christy (57216633741)","57205977383; 24476942500; 24554546300; 23036815400; 23493152000; 56155557300; 57216633741","Ultrastructural Alterations of Grafted Corneal Buttons: The Anatomic Basis for Stromal Peeling Along a Natural Plane of Separation","2021","American Journal of Ophthalmology","231","","","144","153","9","8","10.1016/j.ajo.2021.06.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114818170&doi=10.1016%2fj.ajo.2021.06.005&partnerID=40&md5=07310a1d13ea3ad393b65ee6c9dd2eb2","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85114818170"
"Bhogal M.; Gupta N.; Giobellina T.; Kobayashi A.; Males J.; Mehta J.S.; Romano V.; Allan B.; Busin M.; Cursiefen C.; Fogla R.; Gorovoy M.; McKee Y.; Koo E.; Kocaba V.; Mejia L.F.; Moriyama A.; Patel S.; Pereira N.C.; Price F.W., Jr.; Rapuano C.J.; Talley Rostov A.; Saad A.; Sharma N.; Slomovic A.; Sutton G.; Terry M.; Tu E.; Veldman P.; Pineda R.; Vaddavalli P.K.","Bhogal, Maninder (24449255900); Gupta, Nidhi (58474826300); Giobellina, Ticiano (59484716000); Kobayashi, Akira (35758668800); Males, John (15835132600); Mehta, Jodhbir S. (35578098100); Romano, Vito (25960336600); Allan, Bruce (7102506160); Busin, Massimo (57205977383); Cursiefen, Claus (7006080779); Fogla, Rajesh (35478935100); Gorovoy, Mark (23477234200); McKee, Yuri (55773736000); Koo, Ellen (35835890600); Kocaba, Viridiana (35113455500); Mejia, Luis Fernando (56238214100); Moriyama, Aline (33267759400); Patel, Sanjay (56956223300); Pereira, Nicolas Cesario (36055101900); Price, Francis W. (57226223254); Rapuano, Christopher J. (7005117622); Talley Rostov, Audrey (23096166500); Saad, Alain (35771439500); Sharma, Namrata (57210527852); Slomovic, Allan (7003932301); Sutton, Gerard (35965972100); Terry, Mark (7103127583); Tu, Elmer (7004589105); Veldman, Peter (35079646600); Pineda, Roberto (7004377757); Vaddavalli, Pravin K. (14319446500)","24449255900; 58474826300; 59484716000; 35758668800; 15835132600; 35578098100; 25960336600; 7102506160; 57205977383; 7006080779; 35478935100; 23477234200; 55773736000; 35835890600; 35113455500; 56238214100; 33267759400; 56956223300; 36055101900; 57226223254; 7005117622; 23096166500; 35771439500; 57210527852; 7003932301; 35965972100; 7103127583; 7004589105; 35079646600; 7004377757; 14319446500","Delphi-Based Global Consensus on Adopting Endothelial Keratoplasty: An Endothelial Keratoplasty Learners Group Initiative","2025","Cornea","44","8","","1010","1021","11","2","10.1097/ICO.0000000000003758","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212952949&doi=10.1097%2fICO.0000000000003758&partnerID=40&md5=cd63c22f8e29cb2b7a4af9f747bb4162","Article","Final","","Scopus","2-s2.0-85212952949"
"Olivia Li J.-P.; Shantha J.; Wong T.Y.; Wong E.Y.; Mehta J.; Lin H.; Lin X.; Strouthidis N.G.; Park K.H.; Fung A.T.; McLeod S.D.; Busin M.; Parke D.W., II; Holland G.N.; Chodosh J.; Yeh S.; Ting D.S.W.","Olivia Li, Ji-Peng (57216370813); Shantha, Jessica (36678162000); Wong, Tien Y. (7403147159); Wong, Edmund Y. (7403161598); Mehta, Jod (57194750897); Lin, Haotian (15757569100); Lin, Xiaofeng (7404510618); Strouthidis, Nicholas G. (57220392234); Park, Ki Ho (56276582800); Fung, Adrian T. (24075835100); McLeod, Stephen D. (35373906600); Busin, Massimo (57205977383); Parke, David W. (35566699400); Holland, Gary N. (7202506224); Chodosh, James (7005349649); Yeh, Steven (7402085804); Ting, Daniel S.W. (37010354600)","57216370813; 36678162000; 7403147159; 7403161598; 57194750897; 15757569100; 7404510618; 57220392234; 56276582800; 24075835100; 35373906600; 57205977383; 35566699400; 7202506224; 7005349649; 7402085804; 37010354600","Preparedness among Ophthalmologists: During and Beyond the COVID-19 Pandemic","2020","Ophthalmology","127","5","","569","572","3","123","10.1016/j.ophtha.2020.03.037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083311367&doi=10.1016%2fj.ophtha.2020.03.037&partnerID=40&md5=0e4713cdb9d36c0f1e20eaff60f1177a","Editorial","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85083311367"
"Mattioli L.; Weiss J.S.; Spena R.; Leon P.; Myerscough J.; Bovone C.; Busin M.","Mattioli, Leila (57202375970); Weiss, Jayne S. (57208156882); Spena, Rossella (57202377384); Leon, Pia (56900808700); Myerscough, James (56155557300); Bovone, Cristina (24476942500); Busin, Massimo (57205977383)","57202375970; 57208156882; 57202377384; 56900808700; 56155557300; 24476942500; 57205977383","Outcomes of a Modified Technique for Successful Pneumatic Dissection in Pediatric Eyes with Corneal Scars","2019","Cornea","38","7","","825","828","3","5","10.1097/ICO.0000000000001924","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067372505&doi=10.1097%2fICO.0000000000001924&partnerID=40&md5=265aa7bb8c43511317cba94f70a4762c","Article","Final","","Scopus","2-s2.0-85067372505"
"Abu-Amero K.K.; Almadani B.; Abualkhair S.; Hameed S.; Kondkar A.A.; Sollazzo A.; Yu A.C.; Busin M.; Zauli G.","Abu-Amero, Khaled K. (6701912671); Almadani, Bashaer (58956797400); Abualkhair, Shereen (58966974400); Hameed, Syed (58955798900); Kondkar, Altaf A (8752581300); Sollazzo, Andrea (57273851400); Yu, Angeli Christy (57216633741); Busin, Massimo (57205977383); Zauli, Giorgio (7006419422)","6701912671; 58956797400; 58966974400; 58955798900; 8752581300; 57273851400; 57216633741; 57205977383; 7006419422","Mitochondrial DNA Pathogenic Variants in Ophthalmic Diseases: A Review","2025","Genes","16","3","347","","","","0","10.3390/genes16030347","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001036189&doi=10.3390%2fgenes16030347&partnerID=40&md5=8bc8114b8350fcfa6100cf83883b4332","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105001036189"
"Colliardo P.; Taloni A.; Taloni M.; Falcinelli G.; Petitti L.; Lucisano A.; Busin M.; Scorcia V.; Giannaccare G.","Colliardo, Paolo (25622955500); Taloni, Andrea (56891258500); Taloni, Maurizio (9535568200); Falcinelli, Giovanni (58311880400); Petitti, Luigi (57216858001); Lucisano, Andrea (54923648200); Busin, Massimo (57205977383); Scorcia, Vincenzo (24554546300); Giannaccare, Giuseppe (55753474700)","25622955500; 56891258500; 9535568200; 58311880400; 57216858001; 54923648200; 57205977383; 24554546300; 55753474700","Follow-up Extension Up to 43 Years of Modified Osteo-Odonto-Keratoprosthesis","2023","Ophthalmology","130","9","","995","997","2","4","10.1016/j.ophtha.2023.05.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161691113&doi=10.1016%2fj.ophtha.2023.05.010&partnerID=40&md5=4cb4a64a5fd69b7df1895142e68e1aab","Article","Final","","Scopus","2-s2.0-85161691113"
"Myerscough J.; Bovone C.; Mimouni M.; Elkadim M.; Rimondi E.; Busin M.","Myerscough, James (56155557300); Bovone, Cristina (24476942500); Mimouni, Michael (56351846100); Elkadim, Mohamed (57209474877); Rimondi, Erika (23036815400); Busin, Massimo (57205977383)","56155557300; 24476942500; 56351846100; 57209474877; 23036815400; 57205977383","Factors Predictive of Double Anterior Chamber Formation Following Deep Anterior Lamellar Keratoplasty","2019","American Journal of Ophthalmology","205","","","11","16","5","17","10.1016/j.ajo.2019.03.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067859761&doi=10.1016%2fj.ajo.2019.03.026&partnerID=40&md5=085002077017523f3b23bdffa28a1fc6","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85067859761"
"Pellegrini M.; Furiosi L.; Salgari N.; D'Angelo S.; Zauli G.; Yu A.C.; Busin M.","Pellegrini, Marco (57200399011); Furiosi, Luca (57217492848); Salgari, Niccolò (56040111200); D'Angelo, Sergio (7004818616); Zauli, Giorgio (7006419422); Yu, Angeli Christy (57216633741); Busin, Massimo (57205977383)","57200399011; 57217492848; 56040111200; 7004818616; 7006419422; 57216633741; 57205977383","Accuracy of intraocular lens power calculation for cataract surgery after deep anterior lamellar keratoplasty","2022","Clinical and Experimental Ophthalmology","50","1","","17","22","5","7","10.1111/ceo.14026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120504647&doi=10.1111%2fceo.14026&partnerID=40&md5=8981b3ab57c2fc2a7a9be325a72d772f","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85120504647"
"Busin M.; Yu A.C.","Busin, Massimo (57205977383); Yu, Angeli Christy (57216633741)","57205977383; 57216633741","The Ongoing Debate: Descemet Membrane Endothelial Keratoplasty Versus Ultrathin Descemet Stripping Automated Endothelial Keratoplasty","2020","Ophthalmology","127","9","","1160","1161","1","9","10.1016/j.ophtha.2020.03.023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089231015&doi=10.1016%2fj.ophtha.2020.03.023&partnerID=40&md5=25b7716ba131b95f05806ba0887a4407","Editorial","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85089231015"
"Yu A.C.; Myerscough J.; Galante G.; Furiosi L.; Socea S.; Bovone C.; Busin M.","Yu, Angeli Christy (57216633741); Myerscough, James (56155557300); Galante, Giuditta (57211117191); Furiosi, Luca (57217492848); Socea, Sergiu (56593220100); Bovone, Cristina (24476942500); Busin, Massimo (57205977383)","57216633741; 56155557300; 57211117191; 57217492848; 56593220100; 24476942500; 57205977383","Pneumatic Dissection for Large-Diameter (9-mm) Deep Anterior Lamellar Keratoplasty in Eyes with Previous Anterior Lamellar Keratoplasty","2021","Cornea","40","9","","1098","1103","5","10","10.1097/ICO.0000000000002609","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114066184&doi=10.1097%2fICO.0000000000002609&partnerID=40&md5=c426aeb55f65e9843487b16d896ac336","Article","Final","","Scopus","2-s2.0-85114066184"
"Taloni A.; Alessio G.; Coco G.; Scorcia V.; Yu A.C.; De Rosa L.; Salgari N.; Busin M.; Giannaccare G.","Taloni, Andrea (56891258500); Alessio, Giuseppe (59187410900); Coco, Giulia (56443822600); Scorcia, Vincenzo (24554546300); Yu, Angeli Christy (57216633741); De Rosa, Luigi (56324554500); Salgari, Niccolò (56040111200); Busin, Massimo (57205977383); Giannaccare, Giuseppe (55753474700)","56891258500; 59187410900; 56443822600; 24554546300; 57216633741; 56324554500; 56040111200; 57205977383; 55753474700","New frontiers in generative artificial intelligence - enhancing custom GPTs with ophthalmology guidelines","2025","Eye (Basingstoke)","39","7","","1235","1237","2","1","10.1038/s41433-025-03746-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000823264&doi=10.1038%2fs41433-025-03746-w&partnerID=40&md5=c13c10871e06f9919c0890f4b5aea57a","Note","Final","","Scopus","2-s2.0-105000823264"
"Pellegrini M.; Mura M.; Zauli G.; Busin M.","Pellegrini, Marco (57200399011); Mura, Marco (57208548443); Zauli, Giorgio (7006419422); Busin, Massimo (57205977383)","57200399011; 57208548443; 7006419422; 57205977383","Therapeutic contact lens-assisted optical coherence tomography for detection of posterior segment diseases in patients with corneal oedema","2022","Clinical and Experimental Ophthalmology","50","9","","1105","1107","2","1","10.1111/ceo.14141","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135866686&doi=10.1111%2fceo.14141&partnerID=40&md5=bb85b19de024651752d72a2b15ec9c15","Letter","Final","","Scopus","2-s2.0-85135866686"
"Bovone C.; Myerscough J.; Friehmann A.; Elkadim M.; Parmeggiani F.; Busin M.","Bovone, Cristina (24476942500); Myerscough, James (56155557300); Friehmann, Asaf (57195409883); Elkadim, Mohamed (57209474877); Parmeggiani, Francesco (6701707662); Busin, Massimo (57205977383)","24476942500; 56155557300; 57195409883; 57209474877; 6701707662; 57205977383","Peripheral intrastromal hydration facilitates safe, deep trephination in corneas of irregular thickness","2020","Cornea","39","2","","207","209","2","7","10.1097/ico.0000000000002067","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077403024&doi=10.1097%2fico.0000000000002067&partnerID=40&md5=fd93e023f572d0ffa88bb660b0dec91b","Article","Final","","Scopus","2-s2.0-85077403024"
"Myerscough J.; Friehmann A.; Busin M.; Goor D.","Myerscough, James (56155557300); Friehmann, Asaf (57195409883); Busin, Massimo (57205977383); Goor, Didier (57209237251)","56155557300; 57195409883; 57205977383; 57209237251","Successful Visualization of a Big Bubble during Deep Anterior Lamellar Keratoplasty using Intraoperative OCT","2019","Ophthalmology","126","7","","1062","","","6","10.1016/j.ophtha.2019.03.035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066956294&doi=10.1016%2fj.ophtha.2019.03.035&partnerID=40&md5=e435f1a63b8f11f60e4d2a6b9d594886","Note","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85066956294"
"Busin M.; Yu A.C.","Busin, Massimo (57205977383); Yu, Angeli Christy (57216633741)","57205977383; 57216633741","Reply","2021","Ophthalmology","128","5","","e25","","","0","10.1016/j.ophtha.2020.12.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100654681&doi=10.1016%2fj.ophtha.2020.12.016&partnerID=40&md5=38df1bb999939cadc1f34d39716ed993","Letter","Final","","Scopus","2-s2.0-85100654681"
"Santorum P.; Yu A.C.; Bertelli E.; Busin M.","Santorum, Paolo (55251110300); Yu, Angeli Christy (57216633741); Bertelli, Enrico (23392265800); Busin, Massimo (57205977383)","55251110300; 57216633741; 23392265800; 57205977383","Microscope-integrated intraoperative optical coherence tomography-guided big-bubble deep anterior lamellar keratoplasty","2022","Cornea","41","1","","125","129","4","11","10.1097/ICO.0000000000002826","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120893567&doi=10.1097%2fICO.0000000000002826&partnerID=40&md5=8ea6821040e7931195ba3d795ae68d1e","Article","Final","","Scopus","2-s2.0-85120893567"
"Elkadim M.; Myerscough J.; Bovone C.; Busin M.","Elkadim, Mohamed (57209474877); Myerscough, James (56155557300); Bovone, Cristina (24476942500); Busin, Massimo (57205977383)","57209474877; 56155557300; 24476942500; 57205977383","Astigmatism Orientation after Deep Anterior Lamellar Keratoplasty for Keratoconus and Its Correlation with Preoperative Peripheral Corneal Astigmatism","2020","Cornea","39","2","","192","195","3","10","10.1097/ICO.0000000000002175","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077402733&doi=10.1097%2fICO.0000000000002175&partnerID=40&md5=86474da4437f73c1e29dbec810709ef0","Article","Final","","Scopus","2-s2.0-85077402733"
"Busin M.; Franco E.; De Rosa L.; Louise Busin L.M.; Yu A.C.","Busin, Massimo (57205977383); Franco, Elena (57055064300); De Rosa, Luigi (56324554500); Louise Busin, Linda Marie (60094638200); Yu, Angeli Christy (57216633741)","57205977383; 57055064300; 56324554500; 60094638200; 57216633741","Two-Piece Mushroom Penetrating Keratoplasty With “Pull-Through” Technique to Manage High Vitreous Pressure in Infant Eyes","2025","Cornea","","","10.1097/ICO.0000000000003978","","","","0","10.1097/ICO.0000000000003978","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015576293&doi=10.1097%2fICO.0000000000003978&partnerID=40&md5=94bf56cf0a6f9c05d51a80af0fd1bfc3","Article","Article in press","","Scopus","2-s2.0-105015576293"
"Yu A.C.; Myerscough J.; Spena R.; Fusco F.; Socea S.; Furiosi L.; De Rosa L.; Bovone C.; Busin M.","Yu, Angeli Christy (57216633741); Myerscough, James (56155557300); Spena, Rossella (57202377384); Fusco, Fiorella (57192959131); Socea, Sergiu (56593220100); Furiosi, Luca (57217492848); De Rosa, Luigi (56324554500); Bovone, Cristina (24476942500); Busin, Massimo (57205977383)","57216633741; 56155557300; 57202377384; 57192959131; 56593220100; 57217492848; 56324554500; 24476942500; 57205977383","Three-Year Outcomes of Tri-Folded Endothelium-In Descemet Membrane Endothelial Keratoplasty With Pull-Through Technique","2020","American Journal of Ophthalmology","219","","","121","131","10","16","10.1016/j.ajo.2020.07.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090246539&doi=10.1016%2fj.ajo.2020.07.004&partnerID=40&md5=3a661b4ccda3393af82bcce3e7d7c361","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85090246539"
"Myerscough J.; Bovone C.; Thomas P.B.M.; Mimouni M.; Aljassar F.; Padroni S.; Busin M.","Myerscough, James (56155557300); Bovone, Cristina (24476942500); Thomas, Peter Benjamin Michael (57215877245); Mimouni, Michael (56351846100); Aljassar, Faisal (57063295600); Padroni, Sara (16402809900); Busin, Massimo (57205977383)","56155557300; 24476942500; 57215877245; 56351846100; 57063295600; 16402809900; 57205977383","Sutureless superficial anterior lamellar keratoplasty for recurrent corneal haze after repeat excimer laser surface ablation","2020","British Journal of Ophthalmology","104","3","","341","344","3","6","10.1136/bjophthalmol-2019-314316","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068796981&doi=10.1136%2fbjophthalmol-2019-314316&partnerID=40&md5=0150882678dc9a5f80973957ab4b74c0","Article","Final","","Scopus","2-s2.0-85068796981"
"Bertolin M.; Lamon M.; Franco E.; Barbaro V.; Ferrari S.; Bovone C.; Yu A.C.; Parekh M.; Ponzin D.; Busin M.","Bertolin, Marina (36460616100); Lamon, Mattia (57219392498); Franco, Elena (57055064300); Barbaro, Vanessa (8681862400); Ferrari, Stefano (57190211074); Bovone, Cristina (24476942500); Yu, Angeli Christy (57216633741); Parekh, Mohit (54795700400); Ponzin, Diego (6603422101); Busin, Massimo (57205977383)","36460616100; 57219392498; 57055064300; 8681862400; 57190211074; 24476942500; 57216633741; 54795700400; 6603422101; 57205977383","Culture of corneal endothelial cells obtained by descemetorhexis of corneas with Fuchs endothelial corneal dystrophy","2021","Experimental Eye Research","211","","108748","","","","4","10.1016/j.exer.2021.108748","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113979045&doi=10.1016%2fj.exer.2021.108748&partnerID=40&md5=11ee207bbd036534657e48ae1c739202","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85113979045"
"Yu A.C.; Mattioli L.; Busin M.","Yu, Angeli Christy (57216633741); Mattioli, Leila (57202375970); Busin, Massimo (57205977383)","57216633741; 57202375970; 57205977383","Optimizing outcomes for keratoplasty in ectatic corneal disease","2020","Current Opinion in Ophthalmology","31","4","","268","275","7","22","10.1097/ICU.0000000000000666","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086480673&doi=10.1097%2fICU.0000000000000666&partnerID=40&md5=4b3d203c1f05bfd8c270cdf6b3f98eb7","Review","Final","","Scopus","2-s2.0-85086480673"
